,sensitivity,r2,p,se
EE,20.65380740838605,0.15165972425609453,0.0032951654482026253,6.709839010026612
LV,15.627270525550983,0.07039089917355515,0.08552831329331448,8.869173054943557
LT,-1.2840371759334743,0.0011340328329505912,0.8387300864025301,6.264948850672511
FR,-2.6202246696035245,0.0019563401743980407,0.6824024914301376,6.381780886195086
ES,-9.999665198237896,0.025269338872252817,0.13905735285622556,6.697020183917204
DE,-10.173801762114552,0.0713531607454786,0.011873743279422427,3.9577898461254404
IE,-11.737885462555079,0.025055052624604272,0.14076610871987844,7.89556164360171
AT,-14.284035242290797,0.05018212022648278,0.03589355233497854,6.701119372624188
BE,-18.116740088105743,0.06641122550403096,0.015350477555263574,7.324667105158896
IT,-18.85106607929514,0.06169010031080079,0.01963031846821405,7.927789335151848
SI,-20.237805434683363,0.066288225412635,0.030187837458970593,9.143807875013502
PT,-21.453744493392104,0.0380757054237681,0.06847559552566135,11.627874775369756
FI,-25.165198237885495,0.08585663004638817,0.005597189138682606,8.854649362901286
NL,-29.747475770925192,0.13058947242118413,0.0005418368369569123,8.276738947074726
GR,-33.0788061674009,0.15727978017535774,0.00013065923106172662,8.256687772504131
